DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE,DEFERRED SALES CHARGE
01/12/2023,47535180836,QUALIFIED DIVIDEND (TSM),,TSM,,,16.10,,,,
01/12/2023,47535180838,FOREIGN TAX WITHHELD (TSM),,TSM,,,-3.38,,,,
01/13/2023,47555002161,Sold 1 COST @ 480,1,COST,480.00,0.00,479.99,0.01,,,
01/26/2023,47761062779,Sold 3 QQQ @ 292.3,3,QQQ,292.30,0.00,876.88,0.02,,,
01/26/2023,47761819168,Sold 3 QQQ @ 293,3,QQQ,293.00,0.00,878.98,0.02,,,
01/31/2023,47841626376,Sold 2 TSM @ 92,2,TSM,92.00,0.00,184.00,,,,
01/31/2023,47848151087,Sold 1 TSM @ 92.9,1,TSM,92.90,0.00,92.90,,,,
01/31/2023,47876469558,FREE BALANCE INTEREST ADJUSTMENT,,,,,0.89,,,,
02/01/2023,47912684693,Sold 2 DIS @ 109,2,DIS,109.00,0.00,218.00,,,,
02/02/2023,47939850334,Sold 1 AAPL @ 150,1,AAPL,150.00,0.00,150.00,,,,
02/03/2023,47973795490,Sold 1 AAPL @ 157,1,AAPL,157.00,0.00,157.00,,,,
02/03/2023,47974039945,Sold 1 TSLA @ 196.02,1,TSLA,196.02,0.00,196.02,,,,
02/06/2023,48009665242,Sold 2 QQQ @ 303.95,2,QQQ,303.95,0.00,607.89,0.01,,,
02/08/2023,48072154258,Sold 1 DIS @ 115,1,DIS,115.00,0.00,115.00,,,,
02/16/2023,48205244329,QUALIFIED DIVIDEND (AAPL),,AAPL,,,0.46,,,,
02/16/2023,48206198407,W-8 WITHHOLDING (AAPL),,AAPL,,,-0.14,,,,
02/28/2023,48445548835,FREE BALANCE INTEREST ADJUSTMENT,,,,,1.71,,,,
03/22/2023,48897894996,Sold 1 QQQ @ 307.59,1,QQQ,307.59,0.00,307.59,,,,
03/29/2023,49063751914,Sold 1 AAPL @ 161,1,AAPL,161.00,0.00,161.00,,,,
03/30/2023,49083648340,Sold 1 QQQ @ 315,1,QQQ,315.00,0.00,315.00,,,,
03/31/2023,49177242680,FREE BALANCE INTEREST ADJUSTMENT,,,,,2.01,,,,
04/03/2023,49224119676,Sold 2 QQQ @ 318.5,2,QQQ,318.50,0.00,636.99,0.01,,,
04/13/2023,49433189841,QUALIFIED DIVIDEND (TSM),,TSM,,,14.89,,,,
04/13/2023,49433189842,FOREIGN TAX WITHHELD (TSM),,TSM,,,-3.13,,,,
04/28/2023,49683337838,ORDINARY DIVIDEND (QQQ),,QQQ,,,15.11,,,,
04/28/2023,49683892076,W-8 WITHHOLDING (QQQ),,QQQ,,,-4.53,,,,
04/28/2023,49745436856,Free Balance Interest Adjustment,2.29,,0.00,,2.29,,,,
04/28/2023,49710586986,Sold 1 QQQ @ 321.5,1,QQQ,321.50,0.00,321.50,,,,
04/28/2023,49745436856,FREE BALANCE INTEREST ADJUSTMENT,,,,,2.29,,,,
***END OF FILE***
