DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE,DEFERRED SALES CHARGE
01/03/2022,39858124500,Sold 2 TSM @ 129.5,2,TSM,129.50,0.00,259.00,,,,
01/13/2022,40088836084,QUALIFIED DIVIDEND (TSM),,TSM,,,13.42,,,,
01/13/2022,40088836085,FOREIGN TAX WITHHELD (TSM),,TSM,,,-2.82,,,,
01/14/2022,40108861597,Bought 1 COST @ 510,1,COST,510.00,0.00,-510.00,,,,
01/19/2022,40175194017,Bought 1 QQQ @ 368.5,1,QQQ,368.50,0.00,-368.50,,,,
01/25/2022,40294820873,WIRE INCOMING,,,,,7220.00,,,,
01/26/2022,40320933473,Bought 1 QQQ @ 350.8,1,QQQ,350.80,0.00,-350.80,,,,
01/26/2022,40321123926,Bought 1 QQQ @ 350,1,QQQ,350.00,0.00,-350.00,,,,
01/26/2022,40327958580,Bought 2 QQQ @ 348,2,QQQ,348.00,0.00,-696.00,,,,
01/26/2022,40328031784,Bought 2 AAPL @ 160,2,AAPL,160.00,0.00,-320.00,,,,
01/26/2022,40328656982,Bought 1 QQQ @ 345,1,QQQ,345.00,0.00,-345.00,,,,
01/26/2022,40328671612,Bought 1 QQQ @ 344,1,QQQ,344.00,0.00,-344.00,,,,
01/26/2022,40330382465,Bought 1 TSLA @ 900,1,TSLA,900.00,0.00,-900.00,,,,
01/28/2022,40378171798,Bought 2 QQQ @ 340,2,QQQ,340.00,0.00,-680.00,,,,
01/28/2022,40378565276,Bought 1 TSLA @ 805,1,TSLA,805.00,0.00,-805.00,,,,
01/31/2022,40443101449,FREE BALANCE INTEREST ADJUSTMENT,,,,,0.01,,,,
02/03/2022,40533501536,Bought 1 FB @ 247.0899,1,FB,247.0899,0.00,-247.09,,,,
02/03/2022,40534361657,Bought 1 FB @ 243.7,1,FB,243.70,0.00,-243.70,,,,
02/03/2022,40535340614,Bought 1 FB @ 242,1,FB,242.00,0.00,-242.00,,,,
02/08/2022,40623764297,Bought 1 FB @ 220,1,FB,220.00,0.00,-220.00,,,,
02/10/2022,40662406401,QUALIFIED DIVIDEND (AAPL),,AAPL,,,0.88,,,,
02/10/2022,40662888449,W-8 WITHHOLDING (AAPL),,AAPL,,,-0.26,,,,
02/18/2022,40828075827,QUALIFIED DIVIDEND (COST),,COST,,,0.79,,,,
02/18/2022,40828407660,W-8 WITHHOLDING (COST),,COST,,,-0.24,,,,
02/23/2022,40902543345,Bought 1 QQQ @ 330,1,QQQ,330.00,0.00,-330.00,,,,
03/07/2022,41175136365,Bought 2 TSM @ 101,2,TSM,101.00,0.00,-202.00,,,,
03/07/2022,41180330826,Bought 2 TSM @ 99.5,2,TSM,99.50,0.00,-199.00,,,,
04/08/2022,41965321985,Sold 1 COST @ 603,1,COST,603.00,0.00,603.00,,,,
04/08/2022,41966635837,Bought 3 TSM @ 99.2,3,TSM,99.20,0.00,-297.60,,,,
04/14/2022,42074749191,QUALIFIED DIVIDEND (TSM),,TSM,,,13.79,,,,
04/14/2022,42074749192,FOREIGN TAX WITHHELD (TSM),,TSM,,,-2.90,,,,
04/26/2022,42253191817,Bought 1 DIS @ 115.8,1,DIS,115.80,0.00,-115.80,,,,
04/26/2022,42256660428,Bought 1 QQQ @ 319,1,QQQ,319.00,0.00,-319.00,,,,
04/27/2022,42282967177,Bought 1 FB @ 172,1,FB,172.00,0.00,-172.00,,,,
04/29/2022,42316721286,ORDINARY DIVIDEND (QQQ),,QQQ,,,9.97,,,,
04/29/2022,42317244272,W-8 WITHHOLDING (QQQ),,QQQ,,,-2.99,,,,
05/02/2022,42395886900,Bought 1 QQQ @ 312.5,1,QQQ,312.50,0.00,-312.50,,,,
05/02/2022,42398757808,Bought 1 QQQ @ 311.5,1,QQQ,311.50,0.00,-311.50,,,,
05/02/2022,42398846543,Sold 1 FB @ 204.5,1,FB,204.50,0.00,204.50,,,,
05/12/2022,42619030626,QUALIFIED DIVIDEND (AAPL),,AAPL,,,0.92,,,,
05/12/2022,42619120356,W-8 WITHHOLDING (AAPL),,AAPL,,,-0.28,,,,
06/10/2022,43217734444,WIRE INCOMING,,,,,5400.00,,,,
06/10/2022,43223345425,Bought 1 QQQ @ 289,1,QQQ,289.00,0.00,-289.00,,,,
06/13/2022,43253504857,Bought 3 QQQ @ 278,3,QQQ,278.00,0.00,-834.00,,,,
06/13/2022,43258164015,Bought 2 QQQ @ 275,2,QQQ,275.00,0.00,-550.00,,,,
06/16/2022,43356454501,Bought 1 QQQ @ 271,1,QQQ,271.00,0.00,-271.00,,,,
06/16/2022,43356637967,Bought 1 QQQ @ 270.5,1,QQQ,270.50,0.00,-270.50,,,,
06/30/2022,43656796166,FREE BALANCE INTEREST ADJUSTMENT,,,,,0.02,,,,
07/14/2022,43901387844,QUALIFIED DIVIDEND (TSM),,TSM,,,14.77,,,,
07/14/2022,43901387845,FOREIGN TAX WITHHELD (TSM),,TSM,,,-3.10,,,,
07/22/2022,44043504973,Sold 2 META @ 169.5,2,META,169.50,0.00,338.99,0.01,,,
07/27/2022,44113573405,FREE BALANCE INTEREST ADJUSTMENT,,,,,0.06,,,,
