DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE,DEFERRED SALES CHARGE
07/29/2022,44145038284,ORDINARY DIVIDEND (QQQ),,QQQ,,,17.93,,,,
07/29/2022,44145412777,W-8 WITHHOLDING (QQQ),,QQQ,,,-5.38,,,,
07/29/2022,44171387032,Sold 1 QQQ @ 315.47,1,QQQ,315.47,0.00,315.46,0.01,,,
07/29/2022,44196902195,FREE BALANCE INTEREST ADJUSTMENT,,,,,0.29,,,,
08/11/2022,44428065611,QUALIFIED DIVIDEND (AAPL),,AAPL,,,0.92,,,,
08/11/2022,44429066533,W-8 WITHHOLDING (AAPL),,AAPL,,,-0.28,,,,
08/25/2022,44691094866,STOCK SPLIT (TSLA),4,TSLA,,,0.00,,,,
08/31/2022,44828472709,FREE BALANCE INTEREST ADJUSTMENT,,,,,0.35,,,,
09/30/2022,45481193860,FREE BALANCE INTEREST ADJUSTMENT,,,,,0.50,,,,
10/11/2022,45684173781,Bought 2 TSM @ 64.1,2,TSM,64.10,0.00,-128.20,,,,
10/11/2022,45684409295,Bought 2 TSM @ 63.5,2,TSM,63.50,0.00,-127.00,,,,
10/12/2022,45711045756,Bought 1 QQQ @ 262.5,1,QQQ,262.50,0.00,-262.50,,,,
10/13/2022,45731235689,Bought 1 QQQ @ 254.8,1,QQQ,254.80,0.00,-254.80,,,,
10/13/2022,45731249304,Bought 1 QQQ @ 254.5,1,QQQ,254.50,0.00,-254.50,,,,
10/13/2022,45739455430,QUALIFIED DIVIDEND (TSM),,TSM,,,13.92,,,,
10/13/2022,45739455431,FOREIGN TAX WITHHELD (TSM),,TSM,,,-2.92,,,,
10/19/2022,45835695837,Sold 1 DIS @ 100,1,DIS,100.00,0.00,100.00,,,,
10/24/2022,45903801551,Sold 1 META @ 129.1,1,META,129.10,0.00,129.10,,,,
10/24/2022,45904004292,Sold 1 META @ 130,1,META,130.00,0.00,130.00,,,,
10/25/2022,45925532885,Sold 1 META @ 135.5,1,META,135.50,0.00,135.50,,,,
10/27/2022,45976877178,Sold 2 META @ 101.03,2,META,101.03,0.00,202.06,,,,
10/31/2022,46020433623,ORDINARY DIVIDEND (QQQ),,QQQ,,,17.11,,,,
10/31/2022,46020775183,W-8 WITHHOLDING (QQQ),,QQQ,,,-5.13,,,,
10/31/2022,46069104854,FREE BALANCE INTEREST ADJUSTMENT,,,,,0.93,,,,
11/10/2022,46273174479,QUALIFIED DIVIDEND (AAPL),,AAPL,,,0.92,,,,
11/10/2022,46273936104,W-8 WITHHOLDING (AAPL),,AAPL,,,-0.28,,,,
11/30/2022,46624078340,FREE BALANCE INTEREST ADJUSTMENT,,,,,0.94,,,,
12/22/2022,47110513249,Bought 2 QQQ @ 262.9,2,QQQ,262.90,0.00,-525.80,,,,
12/22/2022,47110725963,Bought 2 QQQ @ 262.5,2,QQQ,262.50,0.00,-525.00,,,,
12/22/2022,47110785742,Sold 3 TSLA @ 124.5,3,TSLA,124.50,0.00,373.49,0.01,,,
12/22/2022,47110940303,Bought 1 COST @ 455,1,COST,455.00,0.00,-455.00,,,,
12/30/2022,47254048716,ORDINARY DIVIDEND (QQQ),,QQQ,,,23.59,,,,
12/30/2022,47254720398,W-8 WITHHOLDING (QQQ),,QQQ,,,-7.08,,,,
12/30/2022,47310855783,FREE BALANCE INTEREST ADJUSTMENT,,,,,0.92,,,,
***END OF FILE***
